CONTENT_ID,source,title,events_count,content_duration_sec,avg_progress_ratio
815179,AJA,قصر الموسيقا في اليونان,1,1529,100.0
815163,AJA,صواريخ المقاومة ومنظومة الردع الإسرائيلية,1,2920,100.0
814111,AJA,الإسلام في الغرب شريكا حضاريا,1,2898,100.0
808909,AJA,سفير أميركي لماكرون: اقتطعوا من الريفييرا لفلسطين,1,255,100.0
808840,AJA,مؤتمر شرم الشيخ ومستقبل العراق,1,4064,100.0
806355,AJA,الانتخابات الرئاسية في الدول العربية,1,2835,100.0
802905,AJA,تحرير الأرض أم الإنسان العربي؟,2,4222,100.0
802899,AJA,قابلية الإصلاح في الأنظمة العربية,2,4004,100.0
798069,AJA,الطريق إلى الأقصى مُعبّد بالحواجز العسكرية,1,156,100.0
784455,Other,حرب نووية اقتصادية!,1,2320,100.0
775022,AJA,الدور الماروني في لبنان,1,5176,100.0
773792,Other,المليحي من سوريا,1,378,100.0
770365,AJA,مسيرات العودة,1,3067,100.0
770358,AJA,صوت أوروبي يدعم فلسطين,1,1580,100.0
770355,AJA,أوروبا بعد الحرب على العراق,1,1626,100.0
767747,AJD,رحلة عائلة,1,1455,100.0
766561,AJA,ما بعد النكبة,1,2887,100.0
765142,AJA,بائع الفانوس - مصر,1,130,100.0
764721,AJA,هيئة البيعة,1,3000,100.0
764710,AJA,دور مجلس أمناء الثورة,1,2450,100.0
764683,AJA,مسجد غزوة بني قريظة,1,627,100.0
764682,AJA,مسجد بني حرام,1,634,100.0
764670,AJA,المسجد النبوي في العهدين المملوكي والعثماني,1,626,100.0
764668,AJA,المسجد الأقصى - الجزء 1,2,626,100.0
764658,AJA,مسجد الجمعة,1,621,100.0
764261,AJA,الاقتصاد البحريني,1,3036,100.0
760134,AJA,خلافات الأنبا ماكسيموس مع الكنيسة القبطية المصرية,1,2776,100.0
758780,AJD,الشيخ رمضان باكديل - تركيا,1,794,100.0
758279,AJA,إصلاحات اقتصادية ونتائج غير ملموسة,1,1596,100.0
757423,AJA,من بلفور إلى بلير,1,1396,100.0
752981,AJA,القروض الشخصية في دول الخليج,1,1364,100.0
752959,AJA,البضائع الصينية تغزو أسواق العرب,1,1608,100.0
752623,AJA,الخصخصة في الدول العربية,1,1503,100.0
752622,AJA,أزمة الخبز في مصر واليمن,1,1483,100.0
749369,AJA,الحج.. معانٍ وأحكام,1,2750,100.0
740594,AJA,إبراهيم اليازجي ولغة الجرائد,2,1243,100.0
738993,AJA,تكنولوجيا المرآة الرقمية واستخداماتها,1,1427,100.0
737268,AJA,الأمم المتحدة والنفوذ الأميركي,1,3778,100.0
736791,AJA,الجزيرة تكشف موقعي مقبرتين جماعيتين بدمشق,2,211,100.0
735670,AJD,السينما التونسية.. نسيج الوجود - الجزء 2,1,2803,100.0
735439,AJA,المسؤولية الفردية في الإسلام,1,4155,100.0
735304,AJA,الشريعة بين الثابت والمتغير,2,4167,100.0
734120,AJA,دريد لحام يرحّب بتطبيق الشريعة الإسلامية,1,2164,100.0
733812,AJA,"8""  ملايين في شوال"".. كيف كذب السائق ""الأمين""؟",2,248,100.0
733533,AJA,هل تقترب غزة من وقف لإطلاق النار؟,2,332,100.0
733018,AJA,الحوار الوطني اليمني الشامل,1,1472,100.0
732691,AJA,فقه الواقع,1,4217,100.0
732618,AJA,مأزق دبلوماسي فرنسي,1,5353,100.0
732347,AJA,مستقبل النفط في سوريا ما بعد الأسد,2,253,100.0
731715,Other,محاكمة نتنياهو بين تهم الفساد والتفاخر,1,428,100.0
729475,AJA,قانون الخلع في مصر,1,5292,100.0
728411,AJA,المفاوضات السورية الإسرائيلية.. الأسباب والتداعيات,2,5432,100.0
728039,AJA,كوريا الجنوبية.. أحكام عرفية ومسعى لإقالة الرئيس,2,272,100.0
727951,AJA,المؤتمرات الإسلامية.. أي جدوى؟,1,5290,100.0
727940,AJA,الحريري رئيسا لوزراء لبنان.. ماذا بعد؟,1,5267,100.0
727928,AJA,تحديد النسل بين المؤامرة والشرع,2,5338,100.0
727680,AJA,"غضب غربي من لعبة محاكاة لـ""طوفان الأقصى""",2,275,100.0
727306,AJA,واقع الغناء العربي بين الماضي والحاضر,1,4445,100.0
726932,AJA,العمالة والكفالة في دول الخليج,1,5081,100.0
725413,AJA,اعتذار البابا لليهود,2,5517,100.0
725411,AJA,المقاومة اللبنانية بين البطولة والمصالح,2,5004,100.0
725405,AJA,النظام العسكري بين الديكتاتورية والديمقراطية,1,5474,100.0
725403,AJA,تهويد العقل العربي,1,5595,100.0
725401,AJA,اتحاد المغرب العربي بين التكامل والتحديات,2,5581,100.0
725400,AJA,غياب الديمقراطية في الوطن العربي,1,5539,100.0
725024,AJA,إيران بعد 20 عاما على الثورة,2,5683,100.0
725011,AJA,واقع لبنان تحت الوصاية السورية,2,5622,100.0
725008,AJA,عودة جعفر النميري.. الأسباب والخلفيات,1,5468,100.0
722363,AJA,بايدن يتيح لكييف إمكانية ضرب العمق الروسي,3,242,100.0
