source,SERIES_ID,series_title,unique_viewers,total_views
AJA,2189,المشاء,34,61
AJD,2371,سلسلة دهاليز,34,51
AJD,3256,وجوه أفريقية,34,51
Atheer,3076,بعد البث,34,105
Atheer,3269,بودكاست طرف حديث,34,61
AJA,2710,حرب أكتوبر,33,128
AJD,2167,اكتشاف المجهول.. الأمازون,33,77
Other,2343,وشوله,33,66
Other,3088,حدث في رمضان,33,46
AJA,2154,موعد في المهجر,32,65
AJA,2158,المصير,32,46
AJA,3230,النكبة,32,72
AJD,2863,إثنا عشر سريرا,32,39
Other,2708,بالعربية مع ديمة,32,86
AJA,2297,السجين 345,31,68
AJA,2548,آفاق,30,42
Originals,3155,أطفال القبو,30,72
AJD,2148,لف البلاد,29,35
Other,3051,الإمام أحمد بن حنبل,29,38
AJD,2389,حسن الترابي,27,55
AJD,2787,أفغانستان.. الأرض الجريحة,27,104
AJA,2295,الشاهد,26,49
AJA,3033,مساجد صلى فيها الرسول - صلى الله عليه وسلم,26,42
AJA,2172,مغتربون,25,49
AJA,2895,سوريا مأساة القرن,25,43
AJD,2181,حكاية أغنية,25,32
AJD,2922,من أجل فلسطين,24,36
Other,2190,شيفرة,24,82
AJA,2360,أوراق ثقافية,23,32
AJA,2583,الحرب العالمية الأولى في عيون العرب,23,58
AJA,2836,المشهد العراقي,23,55
AJD,2146,إندونيسيا واكتشاف المجهول,23,44
AJD,3239,الأزياء التقليدية,23,29
AJD,2178,بيوت سياسية,22,61
AJD,2197,سيرة علي,21,47
AJD,2403,ذكريات ملونة,21,23
Other,2786,ألوان الكرة الفرنسية,21,26
AJA,2356,عين الجزيرة,20,36
Other,2320,مسلسل هُم,20,28
AJD,2198,السير الشعبية العربية,19,43
AJD,2200,لف البلاد شرق أفريقيا,19,38
Other,3094,من القدس,19,38
AJA,2201,رواد الأعمال,18,22
Other,2132,البريف فرغيف,18,32
Other,2192,حياة ذكية,18,22
Other,2344,عزت على سفر,18,35
AJA,2553,كيف تروج لمجزرة؟,17,20
AJD,2398,سلسلة الرحالة,17,38
AJD,2926,الثمانينيات,17,48
AJD,2995,أصوات من السماء,16,54
AJD,3170,فيتنام.. ولادة أمة,16,38
AJD,3391,تاريخ الصحافة العربية,16,28
Other,2141,دهاليز,16,47
Other,2783,حصاد العدوان,16,18
AJA,2584,سنوات أوباما,15,25
AJD,2638,سلسلة صحارى أطلس,15,18
AJD,3313,خبايا الأولمبياد,15,46
Other,2353,قصة إنسان,15,25
Other,2703,هجرة الموت,15,26
AJA,2133,أدب السجون,14,15
AJA,2187,عرب أميركا اللاتينية,14,49
AJA,2580,عين على البلقان,14,16
AJA,2614,هجرة غيرت التاريخ,14,22
AJD,2203,مقاهي عتيقة,14,48
AJD,2302,حكايات عن الكرة والحرية,14,16
AJD,2377,السبعينيات,14,26
AJD,2816,البشير الإبراهيمي,14,26
LIVE,3263,عن قرب,14,30
AJA,2199,خطوط على الرمال.. مائة عام على سايكس بيكو,13,25
AJA,2328,إشراقات,13,13
AJD,2635,مصطفى كمال أتاتورك,13,39
AJA,2627,مسارات,12,38
AJA,2893,مبارك والعائلة,12,25
AJD,3449,الطلبة والسياسة,12,23
AJA,2168,نحن الجزيرة,11,19
AJA,2334,وحي القلم,11,21
AJA,2552,قبل النفط,11,14
AJA,2699,من لبنان,11,16
AJA,3035,مصر.. ثورة شعب,11,15
AJA,3218,تقارير إخبارية,11,14
AJD,2400,قلب مدينة,11,14
Other,2161,قرشين حلوين,11,19
Other,2803,بروفايل,11,13
AJA,2156,زمام المبادرة,10,17
AJA,2319,حالة إبداع,10,15
AJA,2625,من أوروبا,10,19
AJA,2768,قدامى المحاربين,10,15
AJA,2906,عالم الجزيرة,10,14
AJD,3009,القرضاوي,10,22
AJD,3041,الصوفية,10,12
AJD,3258,الخبز الأخضر,10,17
AJD,3429,وجوه من آسيا,10,16
Other,2707,الظاهرة,10,18
AJA,2326,الغذاء ... الروح ... الجسد,9,96
AJA,2473,ثلاثي الموت,9,15
AJA,2579,دروب,9,22
AJA,2582,حلول بيئية,9,10
AJA,3438,المشهد الثقافي,9,28
AJD,2191,هواري بومدين ثائر يبني دولة,9,20
AJD,2634,حكاية طبق,9,10
AJD,3222,الأزهر,9,12
AJA,2298,العصر الذهبي للعلوم,8,11
AJA,2396,زينة,8,27
AJA,2581,وراء الشمس,8,10
AJA,2585,جيل الكراهية,8,8
